experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
native,17,2025-02-17T15:16:32.974675,100335592376.0,77959169414.0,17709990476.0,74323457.0,23313.0,40210741527.0,16151345143.0,175965165.0,1.0,23312.0,82432660.65,88506368.0,53.19,51.16,2.02
wasm_interpreted,18,2025-02-17T15:17:21.884890,106460449110.0,99981490385.0,30158667338.0,87910041.0,52595.0,46754126984.0,15654255405.0,382531099.0,0.0,52595.0,130162870.04,150093824.0,40.96,39.77,1.09
wasm_interpreted,19,2025-02-17T15:18:29.485504,124091503546.0,113389911760.0,35178540473.0,83974637.0,52218.0,52176060357.0,18946049202.0,460793655.0,0.0,52218.0,142678789.69,160665600.0,41.87,40.59,1.28
docker_container,18,2025-02-17T15:19:41.441047,125076471528.0,99191142963.0,22043551699.0,85646747.0,21969.0,49781629902.0,21149357975.0,183729902.0,83.0,21848.0,99616686.08,108986368.0,49.38,46.88,2.5
docker_container_and_daemon,18,2025-02-17T15:19:41.441047,133412747931.09,102666276794.87,23890818869.06,103869024.68,22509.2,50871167854.96,22345182626.6,406743538.02,84.71,22386.52,139723012.06,146526208.0,49.45,46.91,2.54
wasm_interpreted,20,2025-02-17T15:20:48.730916,117405199578.0,98732720294.0,32847777506.0,89494523.0,51866.0,51294137909.0,17370048691.0,386885216.0,0.0,51866.0,131577410.78,146767872.0,41.05,39.85,1.31
native,18,2025-02-17T15:22:01.512836,102731531402.0,80364372335.0,18368185685.0,74597688.0,23315.0,40235893817.0,16625747445.0,180549995.0,1.0,23314.0,86854836.71,94511104.0,53.47,51.53,1.92
native,19,2025-02-17T15:22:51.539716,97941003016.0,74702961892.0,17002002810.0,72950654.0,22626.0,37511944114.0,15843354287.0,169816316.0,0.0,22626.0,71775925.68,77672448.0,54.2,52.28,1.91
docker_container,19,2025-02-17T15:23:37.561265,122080349423.0,92788322185.0,21233050208.0,85564246.0,23221.0,47382756743.0,19821877796.0,185220316.0,0.0,23220.0,99055939.37,111464448.0,48.62,46.03,2.59
docker_container_and_daemon,19,2025-02-17T15:23:37.561265,129710719405.85,95501212509.42,22561377043.9,116371761.69,24301.13,53707915159.14,22682514400.86,226608221.8,0.0,24300.13,143335625.44,149209088.0,48.71,46.08,2.63
docker_container,20,2025-02-17T15:24:43.524929,117815654189.0,91627910072.0,21009265866.0,82745229.0,22767.0,46241011233.0,18492238127.0,165635870.0,0.0,22764.0,74317414.4,83656704.0,50.63,48.38,2.25
docker_container_and_daemon,20,2025-02-17T15:24:43.524929,123171289032.47,96833466069.03,21822431772.11,85526865.05,23585.19,48838058242.83,19539158646.42,250121373.12,2.14,23578.98,117231121.66,121176064.0,50.7,48.4,2.3
native,20,2025-02-17T15:25:46.122036,110383821355.0,85710053082.0,19870463750.0,78926076.0,22531.0,43993596956.0,18406796379.0,173133822.0,1.0,22530.0,92615740.24,96780288.0,52.57,50.49,2.05
wasm_aot,19,2025-02-17T15:26:41.391163,105079881011.0,81311158145.0,18992113653.0,78152799.0,46281.0,41220039656.0,17259955300.0,163321587.0,74.0,46207.0,113875999.03,130363392.0,53.49,51.4,2.07
wasm_aot,20,2025-02-17T15:27:31.910339,113495182216.0,88081538981.0,19939044646.0,83997557.0,46659.0,43488412730.0,17508655563.0,173973579.0,0.0,46659.0,125669255.53,134971392.0,53.04,52.25,2.32
